Dual,AWS_ID,Type,Date,Time,Min_Since,Latitude,Longitude,Temperature,Humidity,Pressure,Sea_Temp,Wind_Direction,Wind_Speed,Gust,COG,SOG,Wave_Height,Wave_Period,Visibility
D,62047,3,190526,800,2,499079,-28934,131,911,100722,1241,2190,859,119,0,84,,,8633
D,62045,3,190526,700,2,499076,-28944,131,926,100684,1238,2210,745,127,0,194,,,7413
D,62045,3,190526,800,2,499079,-28933,132,910,100719,1241,2188,741,122,1278,79,,,6468
D,62047,3,190526,900,2,499080,-28933,132,916,100749,1246,2110,937,133,0,116,,,7133
D,62045,3,190526,900,2,499080,-28933,132,905,100744,1246,2096,864,136,0,116,,,6151
D,62045,3,190526,1000,2,499080,-28934,131,913,100774,1244,2024,971,125,0,103,,,7204
D,62047,3,190526,1000,2,499080,-28934,131,919,100781,1244,2156,960,137,0,93,,,4791
D,62047,3,190526,1100,2,499081,-28936,132,910,100821,1242,2085,1006,151,0,92,,,6302
D,62045,3,190526,1100,2,499081,-28936,132,911,100816,1242,2094,856,145,0,87,,,6634
D,62045,3,190526,1200,2,499081,-28938,133,908,100897,1244,2148,1004,151,0,123,,,8366
D,62047,3,190526,1200,2,499081,-28938,132,903,100902,1243,2194,1015,148,0,119,,,7867
D,62045,3,190526,1400,2,499077,-28952,133,888,100943,1247,2127,956,134,0,103,,,8068
D,62047,3,190526,1400,2,499077,-28952,135,885,100950,1247,2146,872,135,0,106,,,6656
D,62045,3,190526,1300,2,499079,-28945,135,892,100922,1248,2130,938,136,0,64,,,7962
D,62047,3,190526,1300,2,499080,-28945,135,890,100926,1248,2182,868,128,0,59,,,7538
D,62047,3,190526,1500,2,499073,-28962,136,861,100978,1251,2264,525,119,0,146,,,7486
D,62047,3,190526,1600,2,499072,-28962,134,885,101005,1252,2207,770,125,0,131,,,5709
D,62045,3,190526,1600,2,499072,-28962,135,883,101002,1252,2231,785,130,0,128,,,6274
D,62045,3,190526,1500,2,499073,-28962,135,864,100969,1251,2218,889,116,0,148,,,9389
D,62047,3,190526,1700,2,499072,-28959,135,882,101057,1244,2331,933,149,0,142,,,5763
D,62045,3,190526,1700,2,499072,-28959,136,878,101043,1244,2353,977,141,0,143,,,6278
D,62045,3,190526,1800,2,499074,-28950,135,866,101080,1243,2324,1113,168,0,140,,,7337
D,62047,3,190526,1800,2,499074,-28950,134,870,101075,1243,2293,1127,168,0,146,,,7374
D,62045,3,190526,1900,2,499078,-28936,133,873,101079,1243,2279,908,160,0,128,,,6756
D,62045,3,190526,2000,2,499079,-28933,130,890,101118,1246,2361,596,147,0,106,,,6007
D,62047,3,190526,2000,2,499079,-28933,130,893,101124,1246,2304,988,136,0,106,,,8505
D,62047,3,190526,1900,2,499078,-28936,133,877,101082,1243,2250,1061,149,0,131,,,8377
D,62047,3,190526,2100,2,499081,-28933,130,876,101189,1247,2246,941,140,0,121,,,7557
D,62045,3,190526,2100,2,499081,-28933,130,873,101184,1247,2278,642,139,0,120,,,5812
D,62045,3,190526,2200,2,499081,-28934,132,890,101243,1245,2324,900,140,0,109,,,5992
D,62047,3,190526,2300,2,499082,-28935,131,898,101300,1244,2383,897,154,0,91,,,3805
D,62047,3,190526,2200,2,499082,-28934,131,896,101250,1245,2339,803,153,0,107,,,4447
D,62045,3,190526,2300,2,499082,-28935,131,892,101290,1243,2337,993,162,0,101,,,6065
D,62045,3,200526,000,2,499081,-28936,132,883,101319,1244,2326,1008,157,0,155,,,5653
D,62047,3,200526,000,2,499081,-28935,131,886,101321,1244,2348,1022,172,0,153,,,5101
D,62047,3,200526,200,2,499078,-28951,129,910,101441,1243,2363,770,139,0,133,,,5999
D,62045,3,200526,200,2,499078,-28951,130,905,101432,1243,2340,990,153,0,135,,,6959
D,62045,3,200526,100,2,499081,-28941,131,896,101397,1243,2266,1027,152,0,126,,,5824
D,62047,3,200526,100,2,499081,-28941,131,898,101406,1243,2324,974,150,0,128,,,5060
D,62047,3,200526,300,2,499075,-28960,129,918,101513,1243,2452,495,105,0,126,,,5782
D,62045,3,200526,300,2,499075,-28960,130,910,101505,1243,2388,836,124,0,125,,,6604
D,62047,3,200526,400,2,499074,-28962,129,910,101590,1245,2503,589,106,0,121,,,5434
D,62047,3,200526,500,2,499073,-28961,129,897,101664,1243,2464,730,108,0,94,,,6009
D,62045,3,200526,400,2,499074,-28962,130,906,101582,1244,2480,791,111,0,113,,,6095
D,62045,3,200526,500,2,499073,-28961,130,897,101658,1243,2505,732,117,0,94,,,6688
D,62045,3,200526,600,2,499073,-28956,129,917,101732,1242,2472,840,148,0,174,,,5750
D,62047,3,200526,600,2,499073,-28956,129,919,101739,1242,2441,831,125,0,174,,,4846
D,62047,3,200526,800,2,499080,-28938,132,927,101857,1244,2412,961,138,0,118,,,4699
D,62045,3,200526,700,2,499076,-28950,127,963,101804,1243,2355,748,123,0,128,,,4363
D,62047,3,200526,700,2,499076,-28950,127,962,101814,1243,2342,751,113,0,119,,,4675
D,62047,3,200526,900,2,499081,-28934,128,960,101950,1245,2364,875,127,0,139,,,2369
D,62045,3,200526,900,2,499081,-28933,128,960,101944,1245,2438,585,123,0,135,,,2976
D,62045,3,200526,800,2,499080,-28938,132,925,101851,1244,2400,783,140,0,109,,,4517
D,62045,3,200526,1000,2,499082,-28934,128,946,102022,1247,2467,582,134,0,76,,,4015
D,62045,3,200526,1100,2,499082,-28935,133,896,102113,1245,2392,660,139,0,86,,,6074
D,62047,3,200526,1000,2,499082,-28934,128,948,102027,1246,2378,901,123,0,83,,,3317
D,62047,3,200526,1100,2,499082,-28935,133,899,102119,1245,2342,897,129,0,96,,,5503
D,62045,3,200526,1200,2,499082,-28936,133,883,102204,1248,2337,626,104,0,122,,,7258
D,62047,3,200526,1200,2,499082,-28936,133,890,102210,1248,2362,745,108,0,125,,,6573
D,62047,3,200526,1400,2,499080,-28944,136,835,102333,1250,2346,622,112,0,98,,,9129
D,62047,3,200526,1300,2,499082,-28937,133,878,102279,1249,2351,786,120,0,68,,,7175
D,62045,3,200526,1300,2,499082,-28937,134,876,102284,1249,2323,778,121,0,65,,,7908
D,62045,3,200526,1400,2,499080,-28944,136,837,102322,1251,2332,708,107,0,101,,,10086
D,62047,3,200526,1500,2,499078,-28953,137,856,102360,1252,2320,453,114,0,89,,,7804
D,62045,3,200526,1500,2,499078,-28953,135,868,102353,1252,2264,706,99,0,88,,,9122
D,62045,3,200526,1600,2,499075,-28958,135,890,102393,1258,2383,590,77,0,79,,,7671
D,62047,3,200526,1600,2,499075,-28958,138,872,102401,1258,2457,361,78,0,81,,,7167
D,62047,3,200526,1700,2,499075,-28958,134,901,102427,1259,2382,296,58,0,94,,,6389
D,62047,3,200526,1800,2,499075,-28955,133,901,102451,1253,2324,421,70,0,70,,,7912
D,62045,3,200526,1700,2,499075,-28958,133,908,102417,1259,2341,440,59,0,87,,,7036
D,62045,3,200526,1800,2,499075,-28956,134,897,102442,1252,2402,468,71,0,68,,,8422
D,62047,3,200526,1900,2,499076,-28951,132,904,102465,1250,2341,413,67,0,120,,,8995
D,62045,3,200526,2000,2,499078,-28947,133,890,102475,1252,2491,277,58,0,75,,,11086
D,62047,3,200526,2000,2,499078,-28947,133,891,102481,1252,2440,396,54,0,78,,,11123
D,62045,3,200526,2100,2,499082,-28935,131,901,102500,1249,2449,270,56,0,50,,,11518
D,62047,3,200526,2100,2,499082,-28935,131,903,102507,1249,2385,418,57,0,52,,,12304
